,評価点,評価値,最適値
0,"(0.8273922204971313, 0.10221540927886963, 0.6359120011329651, 0.48492562770843506, 0.41335511207580566, 0.4408571720123291, 0.625191330909729, 0.945916473865509, 0.33079952001571655, 0.8597674369812012, 0.4531552791595459, 0.015815377235412598, 0.9198065400123596, 0.9292657971382141, 0.4246506690979004)",5.929537869464159,
1,"(0.10484850406646729, 0.9552898406982422, 0.13326287269592285, 0.528738260269165, 0.8139516711235046, 0.7268725633621216, 0.2045000195503235, 0.2337336540222168, 0.004024207592010498, 0.8089009523391724, 0.6567786931991577, 0.2754036784172058, 0.6625415682792664, 0.49574387073516846, 0.41091281175613403)",4.523322791772763,
2,"(0.836341381072998, 0.13507342338562012, 0.34273821115493774, 0.8727209568023682, 0.839841902256012, 0.18023401498794556, 0.5596583485603333, 0.8440820574760437, 0.3556309938430786, 0.11803930997848511, 0.36456239223480225, 0.2692805528640747, 0.34989428520202637, 0.9588714838027954, 0.3080222010612488)",4.842896439116455,
3,"(0.6800708770751953, 0.3138437867164612, 0.9744182825088501, 0.7635424137115479, 0.8601983189582825, 0.5557594299316406, 0.5078001022338867, 0.31367063522338867, 0.9545580148696899, 0.4606934189796448, 0.11401629447937012, 0.4479009509086609, 0.9309314489364624, 0.6237657070159912, 0.11025798320770264)",6.103450480261031,
4,"(0.11894696950912476, 0.5046861171722412, 0.006886661052703857, 0.7815385460853577, 0.36840009689331055, 0.14446622133255005, 0.6456654667854309, 0.6893799304962158, 0.7533740997314453, 0.9964722394943237, 0.2993101477622986, 0.23356515169143677, 0.13756465911865234, 0.3637126088142395, 0.23700785636901855)",3.840476411703449,3.840476411703449
5,"(0.6327545642852783, 0.8210662603378296, 0.7545434236526489, 0.6241203546524048, 0.7366937398910522, 0.48688584566116333, 0.05097109079360962, 0.2601267695426941, 0.8017293810844421, 0.35907310247421265, 0.8803392648696899, 0.9938832521438599, 0.695318341255188, 0.575760543346405, 0.9801387786865234)",7.193574077210549,
6,"(0.8527955412864685, 0.02534383535385132, 0.844332754611969, 0.5966741442680359, 0.23635751008987427, 0.2640615701675415, 0.5703728199005127, 0.0926089882850647, 0.9225314259529114, 0.9675151109695435, 0.18509143590927124, 0.14426743984222412, 0.3280351161956787, 0.3596932888031006, 0.95942223072052)",5.256014315923778,
7,"(0.3333415389060974, 0.9539440274238586, 0.25286775827407837, 0.6620847582817078, 0.24207359552383423, 0.2956446409225464, 0.8139730095863342, 0.564399003982544, 0.6827932000160217, 0.5932306051254272, 0.6151798367500305, 0.4620647430419922, 0.8662818074226379, 0.29676663875579834, 0.18122512102127075)",4.9319641101199,
8,"(0.6170570254325867, 0.9607200026512146, 0.9993530511856079, 0.6315267086029053, 0.16391825675964355, 0.7484062314033508, 0.8628942370414734, 0.028400540351867676, 0.2688004970550537, 0.9569219350814819, 0.7789868712425232, 0.07255154848098755, 0.19046121835708618, 0.20291680097579956, 0.8753799796104431)",6.47742732016825,
9,"(0.3500291109085083, 0.46684056520462036, 0.2769283056259155, 0.8290109634399414, 0.10112392902374268, 0.39514100551605225, 0.13349699974060059, 0.6867968440055847, 0.9685105085372925, 0.6496853232383728, 0.7392864227294922, 0.26472008228302, 0.19376683235168457, 0.7637804746627808, 0.19406503438949585)",4.395574970444557,
10,"(-0.5527602843940258, 0.7150413785129786, 0.7516788709908724, -0.5603767205029726, 0.09226959198713303, 0.7786727454513311, 0.13539285771548748, 0.4696879871189594, 0.03516341187059879, 0.4362158142030239, -0.5647145174443722, -0.41302541829645634, 0.6549095083028078, 0.08400963619351387, 0.29295065253973007)",3.752451604572123,3.752451604572123
11,"(-0.4330137874931097, 0.8211338799446821, -0.7336499150842428, 0.9303962346166372, 0.34832839854061604, -0.3140393514186144, -0.008708935230970383, 0.6483800243586302, 0.9447501711547375, 0.4600384384393692, -0.5450314432382584, -0.24339039623737335, 0.6950030885636806, 0.5723835155367851, -0.42000715620815754)",5.353611632328489,3.752451604572123
12,"(-0.5890599619597197, 0.5553172323852777, 0.5114944446831942, -0.014320218935608864, 0.5068051274865866, -0.479248384013772, 0.6247921753674746, -0.09239916317164898, 0.43984864093363285, 0.8375385906547308, -0.7617270573973656, -0.837824571877718, 0.7190314065665007, -0.7863977290689945, -0.31870244815945625)",5.216748464919024,3.752451604572123
13,"(-0.29236376099288464, 0.8197243008762598, -0.10981284640729427, 0.9019656218588352, 0.9171372782438993, -0.07611223869025707, 0.9537508059293032, 0.5340424086898565, 0.641730098053813, 0.5622661244124174, 0.7445044629275799, -0.9877551048994064, -0.8257397413253784, 0.5773938484489918, 0.7446535956114531)",7.452447606625118,3.752451604572123
14,"(-0.14408094063401222, -0.03499767370522022, 0.392778130248189, 0.3564354032278061, -0.04825232923030853, 0.8009401224553585, 0.28788840398192406, 0.3682712782174349, -0.04330609738826752, -0.02773243561387062, 0.10754451155662537, -0.7406899333000183, -0.08282597735524178, 0.7791446521878242, 0.3951042126864195)",2.498507621190619,2.498507621190619
15,"(0.09832850284874439, 0.8815139178186655, -0.8086485378444195, 0.9518722239881754, 0.1842840053141117, 0.11896734870970249, 0.31995475478470325, 0.6985929626971483, 0.3780634291470051, 0.7204633951187134, -0.28434569761157036, 0.9147581718862057, 0.22212760709226131, 0.469282578676939, -0.08332198858261108)",4.841369282862299,2.498507621190619
16,"(0.8434037212282419, -0.27535849809646606, -0.31630208902060986, 0.40560100227594376, -0.44098586961627007, 0.6112011391669512, -0.27402268908917904, 0.7569657880812883, 0.08496587909758091, -0.2465966586023569, 0.34236384369432926, 0.0769524872303009, 0.15772043354809284, 0.5053906869143248, -0.7293862998485565)",3.2712959875928833,2.498507621190619
17,"(0.07845040783286095, 0.21077263914048672, 0.8586806543171406, 0.42236329056322575, 0.26373715698719025, 0.3070127908140421, 0.8559298515319824, -0.7427732404321432, -0.21183298341929913, 0.812974601984024, -0.5338531509041786, -0.6833938285708427, -0.045824090018868446, 0.07079504057765007, -0.3653187584131956)",4.012841734597481,2.498507621190619
18,"(0.4457966089248657, -0.03639477491378784, -0.5023190677165985, -0.278949499130249, -0.20416080951690674, 0.010182499885559082, 0.06298565864562988, -0.15057122707366943, 0.7238303422927856, 0.750044584274292, -0.2058337926864624, -0.37742745876312256, 0.10572934150695801, 0.8424391746520996, -0.2561624050140381)",2.6564385861401876,2.498507621190619
19,"(0.39099339209496975, -0.3306982275098562, 0.03538411855697632, -0.3536819387227297, -0.6458651553839445, 0.13268287666141987, 0.39435578137636185, -0.36013481579720974, 0.29969613067805767, 0.07466278225183487, -0.5196512397378683, -0.761694299057126, -0.31923226825892925, 0.7156853768974543, 0.015990832820534706)",2.668518637028443,2.498507621190619
20,"(-0.2592737041413784, 0.1950682234019041, 0.05121833272278309, -0.06230496056377888, 0.5414943750947714, 0.850444994866848, 0.6469018030911684, 0.6683948505669832, -0.8826243188232183, -0.5218774862587452, 0.355328431352973, 0.24329029582440853, -0.6188929285854101, 0.9999539274722338, 0.06880912557244301)",4.617987428712741,2.498507621190619
21,"(0.4623396750539541, -0.04758947156369686, 0.4277941659092903, 0.2826631013303995, -0.2886767815798521, 0.2798180803656578, -0.017085714265704155, -0.07362761907279491, 0.2539493888616562, -0.9389499928802252, 0.7326734866946936, -0.27643159218132496, 0.14267868362367153, 0.3790717385709286, -0.9935339037328959)",3.3567788525223166,2.498507621190619
22,"(0.18670368567109108, -0.7036805171519518, 0.290026044473052, -0.33389000222086906, -0.9994990639388561, 0.1447819359600544, 0.43096286430954933, -0.29657039791345596, 0.7921273354440928, 0.189381442964077, -0.2272793985903263, 0.12019418738782406, -0.9210734013468027, 0.8184194061905146, 0.8804711457341909)",5.042114943416168,2.498507621190619
23,"(-0.16687273979187012, -0.06467968225479126, 0.6862510442733765, 0.3281245231628418, -0.8453598916530609, 0.5208413600921631, 0.22812318801879883, -0.3593938946723938, -0.593616396188736, 0.35763657093048096, -0.5893150568008423, -0.9270837530493736, -0.424341082572937, 0.17133104801177979, -0.20312529802322388)",3.7154898333876667,2.498507621190619
24,"(0.8904150798916817, -0.6154906284064054, -0.4649098012596369, -0.5780482012778521, 0.06585564278066158, -0.761298468336463, 0.3234082981944084, -0.5619679745286703, 0.7212598565965891, -0.013606011867523193, 0.09001277200877666, -0.5979998707771301, -0.783062756061554, 0.7750584632158279, -0.21716179139912128)",4.873431023624528,2.498507621190619
25,"(0.10537286475300789, 0.4767408799380064, 0.20597031898796558, 0.02669992670416832, -0.9421988222748041, -0.19947749748826027, 0.16332987509667873, -0.6079188976436853, -0.05419795960187912, -0.052211832255125046, -0.33815274201333523, -0.8894664756953716, -0.589752184227109, -0.16807761043310165, 0.1653130054473877)",2.9198413868010715,2.498507621190619
26,"(0.6477292571216822, 0.26341584883630276, -0.5832103602588177, -0.5647893026471138, 0.15364492870867252, 0.47662779688835144, 0.322651993483305, 0.008901454508304596, 0.381016805768013, -0.1930304691195488, 0.310360673815012, -0.8342312946915627, -0.10052354633808136, 0.4213711638003588, -0.22708707675337791)",2.7169540969821293,2.498507621190619
27,"(0.8345083761960268, 0.4566229283809662, 0.35705212131142616, 0.5417701322585344, -0.16038241609930992, 0.6947600897401571, 0.21691799722611904, -0.10663368925452232, -0.4351481534540653, -0.8392858132719994, 0.6549952477216721, 0.42390778474509716, -0.34444256126880646, -0.2505716569721699, -0.9717693235725164)",4.520981712946556,2.498507621190619
28,"(0.9143977370113134, -0.20715857855975628, 0.39516511745750904, -0.33097765780985355, -0.4637431167066097, 0.3523013982921839, -0.4040213208645582, 0.33213418908417225, 0.5959580484777689, -0.880164097994566, 0.6840631812810898, 0.5123861208558083, 0.1750038992613554, 0.7226920165121555, 0.17237537167966366)",4.200420070972817,2.498507621190619
29,"(-0.2871427945792675, -0.07421102374792099, 0.5222508795559406, 0.41937932930886745, -0.013816215097904205, 0.10888217203319073, 0.3335490617901087, -0.7454173155128956, 0.5200259890407324, 0.727842191234231, -0.24982218444347382, -0.9217135086655617, 0.6639586538076401, 0.2082985620945692, -0.23545660078525543)",3.4673488259520195,2.498507621190619
30,"(-0.4459340162575245, -0.9216099213808775, 0.8372400812804699, -0.5560492519289255, -0.7202055305242538, 0.027597840875387192, 0.3130025304853916, -0.6481202077120543, 0.5864817537367344, 0.2330066543072462, -0.18419986218214035, -0.3963194862008095, 0.5450517982244492, 0.5680873710662127, -0.15383541956543922)",4.3285934860836255,2.498507621190619
31,"(0.19469346664845943, 0.363256499171257, -0.2558899559080601, 0.24559662491083145, -0.6128972992300987, -0.14395920187234879, -0.571915689855814, -0.12960590794682503, -0.37033628299832344, -0.37046168372035027, 0.18299677036702633, -0.5325666144490242, 0.11457972228527069, 0.7346379067748785, -0.05840667709708214)",2.1836493458926745,2.1836493458926745
32,"(0.7821754552423954, 0.13306259736418724, -0.3067414965480566, -0.5533706545829773, -0.597503712400794, 0.724428428336978, -0.0473177395761013, -0.5306956022977829, 0.3643013145774603, 0.17437351681292057, -0.23561062663793564, -0.4420946054160595, 0.8865418992936611, 0.9956830367445946, 0.6388601288199425)",4.795062641302656,2.1836493458926745
33,"(-0.19947966188192368, -0.6527452860027552, -0.11861749552190304, 0.6895452793687582, 0.10059277713298798, 0.21595850586891174, 0.559209493920207, -0.29832870699465275, -0.05749546363949776, 0.46185183338820934, -0.8716894593089819, 0.09412433952093124, 0.15023069083690643, 0.6201742682605982, -0.33360697515308857)",2.9176773514795316,2.1836493458926745
34,"(0.2038133144378662, -0.7358346246182919, -0.4168891701847315, -0.8250005841255188, 0.31771184131503105, 0.14824704825878143, 0.8057611417025328, -0.9877843260765076, 0.15380907617509365, 0.17552063055336475, -0.89102035574615, -0.22577957063913345, 0.3772316947579384, 0.5485208425670862, 0.7795627620071173)",5.135557278407763,2.1836493458926745
35,"(0.5448141004890203, 0.45669073425233364, 0.8444706480950117, 0.21013500913977623, -0.9869234506040812, 0.37864674627780914, 0.5122637767344713, -0.44225273467600346, 0.19162946939468384, -0.3063391800969839, 0.35189645923674107, -0.7965485341846943, -0.7244339436292648, 0.8037027306854725, -0.7221371233463287)",5.4191800175520495,2.1836493458926745
36,"(-0.13439643196761608, 0.51688127592206, -0.3465072177350521, -0.8078831620514393, -0.44553152099251747, 0.18091443553566933, -0.37753409519791603, -0.2590998951345682, 0.9226025082170963, 0.6366294696927071, -0.967582207173109, -0.991450821980834, -0.5815081223845482, 0.574055852368474, -0.27658449299633503)",5.4187375573698,2.1836493458926745
37,"(0.25435231253504753, 0.30588651075959206, 0.15234420262277126, -0.7035517450422049, -0.22398911975324154, -0.2772803343832493, 0.6662479490041733, 0.15694335103034973, -0.16950567066669464, -0.346298074349761, 0.1765592396259308, 0.37507328018546104, -0.09397758170962334, 0.8959056455641985, -0.401498643681407)",2.5652160567584144,2.1836493458926745
38,"(-0.025378329679369926, 0.030654361471533775, -0.2364785484969616, -0.6181020569056273, -0.5577583983540535, 0.035973744466900826, -0.03351278975605965, -0.38345553167164326, 0.5686813667416573, -0.3500438239425421, 0.432704059407115, -0.6113401316106319, -0.12510327622294426, 0.003382530063390732, -0.07957039214670658)",1.9289982528593068,1.9289982528593068
39,"(0.7991575747728348, 0.2967506106942892, -0.3087538368999958, -0.5370980948209763, -0.6996866893023252, -0.7574143949896097, 0.3437418919056654, -0.29931956715881824, 0.06904905289411545, 0.5548962075263262, 0.6240686029195786, 0.18676413036882877, 0.47492247633636, 0.15874223224818707, -0.19211777299642563)",3.406185497889175,1.9289982528593068
40,"(-0.3031417950987816, -0.012720594182610512, 0.023294299840927124, 0.11219565197825432, -0.6344111040234566, -0.6751275546848774, 0.6332823503762484, -0.7079084645956755, 0.8763161040842533, 0.9633533656597137, -0.7885942738503218, -0.5915491562336683, -0.08882712386548519, 0.3047119006514549, -0.2631994467228651)",4.703447347210933,1.9289982528593068
41,"(-0.16275456361472607, 0.8238976281136274, 0.7086352128535509, 0.28593452647328377, -0.28371152468025684, 0.5371251292526722, 0.13126523420214653, -0.9136974141001701, -0.9347666297107935, 0.12621229514479637, 0.11017611064016819, -0.8214248288422823, -0.2081840094178915, 0.2092472556978464, -0.09937361255288124)",4.183883758795917,1.9289982528593068
42,"(0.6233767867088318, 0.5454942770302296, 0.11862864345312119, -0.902540773153305, -0.6365265157073736, 0.8943767547607422, 0.12876790203154087, -0.5050469543784857, 0.41399962827563286, 0.35168221965432167, 0.200861394405365, -0.6554478630423546, 0.44138565845787525, 0.13255833089351654, 0.24623201042413712)",4.029601100409058,1.9289982528593068
43,"(-0.5408578738570213, 0.006484378129243851, 0.07284311205148697, -0.07837271504104137, 0.6071078795939684, 0.24126897752285004, -0.35531061328947544, 0.7285019177943468, 0.14788697101175785, -0.4214712791144848, -0.18855183012783527, -0.3039918374270201, -0.5766081549227238, 0.8102061972022057, -0.21040292270481586)",2.748420922806521,1.9289982528593068
44,"(0.4667790066450834, 0.13301465846598148, -0.20804818719625473, 0.4939313121140003, -0.6592817679047585, 0.46042380295693874, 0.8906771931797266, -0.13334907591342926, 0.8420587871223688, -0.03434400632977486, -0.7123513482511044, -0.6200978569686413, 0.25129206106066704, 0.6857134979218245, -0.278662359341979)",4.193769815023516,1.9289982528593068
45,"(-0.6210147719830275, 0.4657654035836458, -0.9824414327740669, 0.3929716292768717, -0.364395959302783, 0.22684652172029018, -0.09526353888213634, 0.0009803101420402527, 0.045130589976906776, -0.17336955107748508, -0.3834761492908001, -0.7253400534391403, -0.1559408139437437, 0.42267308942973614, -0.19684930332005024)",2.862520138654933,1.9289982528593068
46,"(0.15900303982198238, -0.3800214100629091, -0.15518571250140667, -0.6647361945360899, -0.9313449412584305, 0.5303686689585447, 0.7277593426406384, -0.22185777686536312, 0.4681408330798149, 0.1213108990341425, -0.6982625033706427, -0.660027202218771, -0.5447914227843285, -0.34968605265021324, -0.8200222998857498)",4.6117971182173125,1.9289982528593068
47,"(0.7927586380392313, 0.03403894230723381, -0.8331115487962961, -0.5804126374423504, 0.7241025641560555, 0.9531624782830477, 0.8847588524222374, -0.05280018784105778, -0.06423271633684635, -0.9467645175755024, 0.2856535520404577, -0.9768696613609791, 0.4725137762725353, 0.6080998852849007, -0.24003812670707703)",6.466042132612094,1.9289982528593068
48,"(-0.8618396669626236, 0.004821980372071266, -0.4179943632334471, 0.29203169606626034, 0.1720632053911686, 0.813526788726449, 0.92127276211977, -0.011233227327466011, -0.31141113489866257, 0.7683856803923845, -0.19708555936813354, -0.11033659987151623, 0.22731970995664597, 0.8056615442037582, -0.7791065461933613)",4.589276048910763,1.9289982528593068
49,"(-0.7451412715017796, -0.7827330436557531, -0.551163712516427, -0.7978323101997375, -0.891994496807456, 0.3936925586313009, -0.5044595059007406, 0.19220033288002014, 0.5981923621147871, -0.4269645791500807, -0.10688811354339123, -0.5061333850026131, -0.12202770262956619, 0.4941154923290014, 0.17778801918029785)",4.4486711253336635,1.9289982528593068
50,"(0.17406654357910156, -0.4817017912864685, 0.3172546625137329, 0.022649765014648438, -0.897286169230938, 0.37329864501953125, 0.07647705078125, -0.6321500539779663, 0.39266371726989746, -0.219882071018219, 0.8105611801147461, -0.3253887891769409, -0.9532930925488472, 0.29537832736968994, -0.27092862129211426)",3.748274693234009,1.9289982528593068
51,"(-0.5808983203023672, 0.4393431656062603, 0.30539972335100174, 0.19100507535040379, -0.0374325979501009, -0.557604843750596, 0.04503162205219269, -0.7889092545956373, 0.6100661680102348, 0.43551672622561455, 0.3003008961677551, -0.5161240361630917, 0.06761806458234787, -0.34493183344602585, 0.5246967859566212)",2.9142243123551532,1.9289982528593068
52,"(-0.2621066942811012, 0.4844289869070053, 0.6169311199337244, -0.0894851591438055, -0.05295915715396404, -0.2370938453823328, 0.28977947123348713, -0.25290652737021446, -0.23016554675996304, 0.2710348553955555, 0.7512573339045048, -0.0548385102301836, 0.3400930818170309, 0.7629067413508892, 0.4126723911613226)",2.4607543988012606,1.9289982528593068
53,"(-0.033939242362976074, 0.09461426734924316, -0.8698472827672958, 0.48612964153289795, -0.8700954616069794, -0.17175740003585815, -0.22283709049224854, 0.6608401536941528, 0.22870230674743652, 0.8135391473770142, -0.0399511456489563, -0.5545184016227722, 0.3064318895339966, 0.8739814758300781, -0.10385674238204956)",4.167760637041625,1.9289982528593068
54,"(0.7904163952916861, -0.37194268964231014, -0.11209877021610737, -0.5423498060554266, -0.05764234997332096, -0.2761214729398489, 0.6775142215192318, -0.37274639308452606, 0.33517890609800816, 0.30341655015945435, 0.6718588676303625, -0.8099694550037384, 0.8568845558911562, 0.7964510228484869, 0.453857721760869)",4.6337635545633145,1.9289982528593068
55,"(0.013186469674110413, -0.04770825244486332, -0.044458067044615746, 0.5429864227771759, 0.041566794738173485, 0.5847083274275064, -0.20100350305438042, 0.953372236341238, -0.42164324782788754, -0.9418993815779686, -0.4879639707505703, -0.37698387168347836, 0.3117873854935169, 0.7340525239706039, 0.6941413078457117)",4.1552531779079995,1.9289982528593068
56,"(-0.2032926920801401, 0.06569366902112961, -0.6911936812102795, -0.33900097385048866, -0.22381981275975704, 0.651591669768095, -0.4246816448867321, -0.5325898174196482, -0.667302530258894, -0.7311095930635929, 0.6032401919364929, -0.27345789037644863, -0.358099153265357, 0.2213443424552679, -0.06973297894001007)",3.1775702286314447,1.9289982528593068
57,"(0.37129874154925346, 0.37998031824827194, -0.08054660633206367, -0.7310865353792906, -0.4563152398914099, -0.08064650185406208, -0.3662176728248596, 0.24997476115822792, -0.27286259829998016, 0.48480021581053734, 0.6956344973295927, -0.21360274590551853, 0.3134712539613247, 0.09751524589955807, 0.29828266240656376)",2.2703180279300628,1.9289982528593068
58,"(0.02418678067624569, 0.8574289456009865, -0.5345455184578896, 0.8191935401409864, -0.9741185493767262, -0.07223515585064888, -0.3323799576610327, -0.6354229617863894, -0.05450328066945076, -0.9197150152176619, 0.5334780029952526, -0.4863694254308939, -0.12551099620759487, 0.9039333425462246, -0.07238565012812614)",5.36903850200138,1.9289982528593068
59,"(0.9317099917680025, 0.27536721527576447, 0.07914692908525467, -0.2993222810328007, -0.552864097058773, -0.8511821925640106, -0.004157034680247307, -0.8791119828820229, -0.6103187892585993, 0.43983052484691143, 0.18392248079180717, -0.8448039032518864, -0.07302729226648808, -0.3265490457415581, 0.15388733334839344)",4.291903275509154,1.9289982528593068
60,"(-0.19331927597522736, 0.3759574070572853, 0.40375989861786366, -0.2993823327124119, -0.15924557112157345, -0.46561951749026775, -0.29145401529967785, -0.9492238722741604, -0.06761940941214561, -0.3498646728694439, 0.29875850677490234, -0.022592416033148766, -0.16555960290133953, 0.4307498913258314, 0.3643137589097023)",2.2219249433810746,1.9289982528593068
61,"(0.8519789054989815, 0.31279571168124676, 0.2394318152219057, -0.2788216155022383, -0.3631103076040745, 0.21701300889253616, 0.09962702728807926, -0.20892412774264812, -0.5887398831546307, 0.24949726462364197, -0.8891616556793451, -0.8655578345060349, -0.394027478992939, -0.4038901589810848, -0.3013406712561846)",3.549150342062602,1.9289982528593068
62,"(0.17974423803389072, -0.902367739006877, -0.37679427303373814, -0.2770089954137802, -0.7355797849595547, 0.852919502183795, -0.06058622524142265, -0.3447060324251652, 0.24774210527539253, 0.33463722653687, 0.3682618960738182, -0.4799793194979429, 0.4111215267330408, 0.14905129373073578, -0.05782223492860794)",3.1902614760782586,1.9289982528593068
63,"(-0.6523695755749941, 0.17242868058383465, -0.08223577030003071, -0.0246939305216074, 0.345743989571929, 0.7877821680158377, -0.0771077610552311, -0.7275950536131859, -0.8985136710107327, 0.032310327515006065, 0.24645515717566013, 0.18426433205604553, -0.6727333664894104, 0.6803231053054333, -0.21858428604900837)",3.604423107503406,1.9289982528593068
64,"(-0.24341626092791557, 0.44738247618079185, 0.020781807601451874, -0.37847990170121193, -0.32261892408132553, 0.11689827777445316, -0.05885494127869606, -0.06617235764861107, -0.6237920206040144, -0.5386839248239994, 0.2228324506431818, 0.7629108093678951, -0.6592794209718704, 0.2673706319183111, -0.20807108841836452)",2.389086385656501,1.9289982528593068
65,"(-0.09923163242638111, -0.32995416037738323, 0.8116271365433931, -0.30516290105879307, -0.4034925401210785, -0.16123811900615692, 0.14096471667289734, 0.010752711445093155, -0.43943157233297825, 0.07552753947675228, 0.4735933132469654, -0.4981994703412056, -0.4766487367451191, 0.9266308657824993, -0.7901966888457537)",3.4609177441919674,1.9289982528593068
66,"(-0.7589350529015064, 0.478339409455657, 0.06611321121454239, 0.24011506140232086, -0.41075048595666885, -0.6994615662842989, -0.8110493496060371, -0.9914058484137058, -0.12394758686423302, -0.0032573454082012177, -0.04782520607113838, -0.7490031383931637, 0.1277943104505539, 0.2622840218245983, -0.7077805921435356)",4.330210479508342,1.9289982528593068
67,"(0.6894880142062902, 0.28951898217201233, -0.2673794310539961, 0.6027222275733948, -0.1755577065050602, 0.037730125710368156, -0.7831598706543446, -0.709290899336338, 0.2738762889057398, -0.2661181055009365, 0.30107514560222626, 0.13764698430895805, 0.19800401106476784, 0.6343126632273197, 0.05260247737169266)",2.842403007160814,1.9289982528593068
68,"(0.9659389443695545, -0.1939589474350214, 0.31216720677912235, -0.5622756406664848, -0.3671650402247906, -0.8676946610212326, 0.05823655426502228, -0.8245705962181091, -0.2986450009047985, -0.13581443578004837, 0.35554908588528633, 0.6164118144661188, 0.3793095853179693, -0.07803836837410927, -0.2830863483250141)",3.7993894386227605,1.9289982528593068
69,"(0.01175815798342228, 0.6597353927791119, -0.8312678523361683, 0.18696483597159386, -0.6224724687635899, -0.5134402625262737, 0.32368295080959797, 0.04185711406171322, -0.762288510799408, 0.40216255374252796, 0.22000892646610737, 0.024873338639736176, -0.14717402309179306, 0.312427656725049, 0.3897074870765209)",2.9819509464486864,1.9289982528593068
