,評価点,評価値,最適値
0,"(0.8088890910148621, 0.3712691068649292, 0.19600796699523926, 0.5229272246360779, 0.3477669954299927, 0.08915835618972778, 0.34907644987106323, 0.8302784562110901, 0.7598986625671387, 0.11511075496673584)",2.6348185582383827,
1,"(0.07072091102600098, 0.6513996124267578, 0.7587331533432007, 0.6235836148262024, 0.6487125158309937, 0.9448153376579285, 0.7968605756759644, 0.8766549825668335, 0.9633537530899048, 0.05127912759780884)",5.041550113502833,
2,"(0.1238897442817688, 0.22705864906311035, 0.7786988019943237, 0.49443817138671875, 0.31465935707092285, 0.5894615650177002, 0.7647968530654907, 0.6603035926818848, 0.3428182601928711, 0.6643304228782654)",2.943995007280371,
3,"(0.7511192560195923, 0.058246612548828125, 0.4186137914657593, 0.8420642614364624, 0.061704814434051514, 0.9802166819572449, 0.3837411403656006, 0.19129061698913574, 0.795558512210846, 0.7312992811203003)",3.768076107017702,
4,"(0.1130228042602539, 0.5043540596961975, 0.042572021484375, 0.32575827836990356, 0.6869205832481384, 0.293571412563324, 0.13656365871429443, 0.5815544724464417, 0.6842015385627747, 0.6920810341835022)",2.2370852072711322,
5,"(0.7960628867149353, 0.9002556800842285, 0.2925249934196472, 0.06690341234207153, 0.45893287658691406, 0.8419355750083923, 0.5244842171669006, 0.7894352078437805, 0.8223532438278198, 0.7647130489349365)",4.613040791450096,
6,"(0.4903685450553894, 0.8021897673606873, 0.46839410066604614, 0.9146807193756104, 0.006609857082366943, 0.3408811688423157, 0.5465736985206604, 0.6687299609184265, 0.6705772876739502, 0.5634372234344482)",3.56932521829631,
7,"(0.3163093328475952, 0.08436393737792969, 0.22167617082595825, 0.19006896018981934, 0.5836228728294373, 0.8892571330070496, 0.555331289768219, 0.02162158489227295, 0.456403911113739, 0.07905811071395874)",1.8472443578881652,1.8472443578881652
8,"(0.04786413908004761, 0.7959685921669006, 0.8951322436332703, 0.47136205434799194, 0.35551345348358154, 0.8328734636306763, 0.8551986813545227, 0.4066162705421448, 0.15196824073791504, 0.8129462599754333)",4.060046461286245,
9,"(0.5504093170166016, 0.7376167178153992, 0.7115045189857483, 0.40758609771728516, 0.657619059085846, 0.46449828147888184, 0.299762487411499, 0.3924974203109741, 0.6579368710517883, 0.8077133297920227)",3.4968089498418102,
10,"(0.7554815355688334, -0.8925057128071785, -0.8311714231967926, 0.12006991729140282, 0.83338856510818, 0.31337305158376694, -0.5513839870691299, 0.724012253805995, 0.6149321794509888, -0.4270078409463167)",4.2540160140796965,1.8472443578881652
11,"(0.10486968420445919, -0.6501564290374517, -0.7593743577599525, 0.016835110262036324, -0.8403202649205923, -0.739737356081605, 0.00042783841490745544, 0.3721115831285715, 0.1703721471130848, -0.12514973618090153)",2.4471397109858,1.8472443578881652
12,"(0.09724260307848454, 0.13987531885504723, -0.8518145233392715, -0.4672654625028372, 0.4154762215912342, -0.0828174501657486, 0.7675527296960354, 0.34745280258357525, -0.5194619279354811, -0.09747985564172268)",2.1416291037750605,1.8472443578881652
13,"(-0.8172896634787321, 0.2752889562398195, 0.38908950984477997, 0.5507418494671583, -0.26780905202031136, 0.259777070954442, 0.6012146435678005, -0.897323302924633, -0.9186247065663338, -0.01368572749197483)",3.34836625808323,1.8472443578881652
